op,room_base,room_raw,stage,round,seq_in_room,sender,receiver,is_broadcast,bytes,participants_k
dkg,dkg_room_1768484518656-10749-7-3157714961,dkg_room_1768484518656-10749-7-3157714961,,3,7,3,1,0,555,3
dkg,dkg_room_1768484518656-10749-7-3157714961,dkg_room_1768484518656-10749-7-3157714961,,3,8,1,2,0,543,3
dkg,dkg_room_1768484518656-10749-7-3157714961,dkg_room_1768484518656-10749-7-3157714961,,3,9,3,2,0,555,3
dkg,dkg_room_1768484518656-10749-7-3157714961,dkg_room_1768484518656-10749-7-3157714961,,3,10,2,1,0,545,3
dkg,dkg_room_1768484518656-10749-7-3157714961,dkg_room_1768484518656-10749-7-3157714961,,3,11,1,3,0,541,3
dkg,dkg_room_1768484518656-10749-7-3157714961,dkg_room_1768484518656-10749-7-3157714961,,3,12,2,3,0,546,3
dkg,dkg_room_1768484518656-10749-7-3157714961,dkg_room_1768484518656-10749-7-3157714961,,4,13,1,2,1,549,3
dkg,dkg_room_1768484518656-10749-7-3157714961,dkg_room_1768484518656-10749-7-3157714961,,4,13,1,3,1,549,3
dkg,dkg_room_1768484518656-10749-7-3157714961,dkg_room_1768484518656-10749-7-3157714961,,4,14,3,1,1,540,3
dkg,dkg_room_1768484518656-10749-7-3157714961,dkg_room_1768484518656-10749-7-3157714961,,4,14,3,2,1,540,3
dkg,dkg_room_1768484518656-10749-7-3157714961,dkg_room_1768484518656-10749-7-3157714961,,4,15,2,1,1,539,3
dkg,dkg_room_1768484518656-10749-7-3157714961,dkg_room_1768484518656-10749-7-3157714961,,4,15,2,3,1,539,3
dkg,dkg_room_1768484519052-10749-8-2828928211,dkg_room_1768484519052-10749-8-2828928211,,1,1,1,2,1,14389,3
dkg,dkg_room_1768484519052-10749-8-2828928211,dkg_room_1768484519052-10749-8-2828928211,,1,1,1,3,1,14389,3
dkg,dkg_room_1768484519052-10749-8-2828928211,dkg_room_1768484519052-10749-8-2828928211,,1,2,3,1,1,14420,3
dkg,dkg_room_1768484519052-10749-8-2828928211,dkg_room_1768484519052-10749-8-2828928211,,1,2,3,2,1,14420,3
dkg,dkg_room_1768484519052-10749-8-2828928211,dkg_room_1768484519052-10749-8-2828928211,,1,3,2,1,1,14428,3
